"H","L0601","032","645220","Maria","e689cee6-d906-428d-b4a4-4376775977c7","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","2854663",,,,,,"1","15#AVG","LB","BUCKHEAD PRIDE/ NEWPORT PRIDE","28-00040","Beef Chuck Short Rib Bone-in","Meats",8.159,,"Y",,false,,0,12.4,,"DEMAND",,"N",,
"P","7113748",,,,,,"2","5 LB","LB","BUCKHEAD PRIDE/ NEWPORT PRIDE","21-40177","Beef Tenderloin For Taco Frozen","Meats",3.978,,"Y",,false,,0,10.41,,"NONSTOCK",,"N",,
"P","7293531",,,,,,"2","5#AVG",,"BUCKHEAD PRIDE/ NEWPORT PRIDE","21-17295","Steak Filet Tips Frozen","Meats",8.329,,"Y",,false,,0,9.977,,"STOCKED",,"N",,
"P","4848754",,,,,,"40","4-6 OZ","OZ","BUCKHEAD PRIDE/ NEWPORT PRIDE","21-18454","Steak Sirloin Top Random Frozen","Meats",5.056,,"Y",,false,,0,12.581,,"STOCKED",,"N",,
"P","8087072",,,,,,"1","50#AVG","LB","PACKER","11-23340","Beef Chuck Short Rib Bone In 4 Bone","Meats",7.759,,"Y",,false,,0,57.1,,"DEMAND",,"N",,
"P","7152366",,,,,,"40","4 OZ","OZ","SYSCO CLASSIC","10000052366","Beef Fritter Steak","Meats",61.49,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","6737191",,,,,,"30","5.33OZ","OZ","SYSCO IMPERIAL","10000037191","Beef Fritter Country Texas Style","Meats",51.65,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1087469",,,,,,"40","4 OZ","OZ","SYSCO RELIANCE","10000087469","Beef Fritter Country Fried","Meats",31.35,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7096353",,,,,,"2","5# AV","LB","BUCKHEAD PRIDE/ NEWPORT PRIDE","21-12422","Beef For Picada Frozen","Meats",5.059,,"Y",,false,,0,10.039,,"STOCKED",,"N",,
"P","5122665",,,,,,"8","5#AVG","LB","CASA SOLANA CLASSIC","1005131","Beef Fajita Outsde Skirt Marn Sw","Meats",6.999,,"Y",,false,,0,39.715,,"STOCKED",,"N",,
"P","2881821",,,,,,"5","1 PCS","LB","BUTCHERS BLOCK","","Pork Belly Skinless","Meats",5.259,,"Y",,false,,0,58,,"DEMAND",,"N",,
"C","Seafood",,,,,,,,,,,,,,,,,,,,,,,,,,
"P","0496665",,,,,,"2","5 LB","LB","PORTICO CLASSIC SEAFOOD","0496665","Tilapia Fillet Boneless Skinless Iqf 5-7 Ounce Farm Raised","Seafood",44.35,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","6731634",,,,,,"4","2.5LB","LB","PORTICO CLASSIC SEAFOOD","232582071PB","Shrimp White Easy Peel 26/30 Count","Seafood",42.13,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7025057",,,,,,"4","2.5 LB","LB","PORTICO CLASSIC SEAFOOD","232540071PB","Shrimp White Easy Peel 21/25 Count Import","Seafood",44.93,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","6731515",,,,,,"4","2.5 LB","LB","PORTICO CLASSIC SEAFOOD","292582071PB","Shrimp White Peeled And Deveined  Tail-on 26/30 Count","Seafood",43.56,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7952468",,,,,,"4","2.5 LB","LB","PORTICO CLASSIC SEAFOOD","261624071PB","Shrimp White Peeled And Deveined  Tail-off 31/40 Count","Seafood",42.55,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","6736518",,,,,,"4","2.5LB","LB","PORTICO CLASSIC SEAFOOD","292652071PB","Shrimp White Peeled And Deveined  Tail-on 41/50 Count","Seafood",39.85,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7952492",,,,,,"4","2.5 LB","LB","PORTICO CLASSIC SEAFOOD","261652071PB","Shrimp White Peeled And Deveined  Tail-off 41/50 Count","Seafood",41.37,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","9901426",,,,,,"10","4 LB","LB","EASTERN FISH PACKER SEAFD","14486","Shrimp White Mexican Head On 30/40","Seafood",130.77,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","8024743",,,,"Phased Out",,"1","10 LB","LB","PORTICO CLASSIC SEAFOOD","SPCTV57","Tilapia Fillet Boneless Skinless Individually Vacuum Packed 5-7 Ounce Farm Raised","Seafood",36.95,,"N",,false,,0,10,,"NONSTOCK",,"N",,
"P","5057282",,,,,,"1","30 LB","LB","PRESTIGE OYSTER","5057282","Oyster Inshell Gulf 90-110 Count","Seafood",51.55,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","7158038",,,,,,"1","100CT","CT","PACKER","1803061","Oyster Whl James River","Seafood",57.99,,"N",,false,,0,20,,"DEMAND",,"N",,
"P","7075430",,,,,,"1","30 LB","LB","PORTICO PRIDE","18-03054","Oyster Inshell Gulf Usa Fresh","Seafood",54.71,,"N",,false,,0,30,,"NONSTOCK",,"N",,
"C","Poultry",,,,,,,,,,,,,,,,,,,,,,,,,,
"P","7203474",,,,,,"4","10 LB","LB","SYSCO CLASSIC","14072","Chicken Cvp Breast Boneless-skinless Whole Random Jumbo","Poultry",84.5,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","2334732",,,,,,"1","40 LB","LB","SYSCO CLASSIC","14200","Chicken CVP Drumstick Jumbo","Poultry",32.49,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","4418117",,,,,,"1","40LB","LB","SYSCO CLASSIC","14612","Chicken Legs Quarters Jumbo Controlled Vacuum Packed","Poultry",39.85,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","4248417",,,,,,"4","10 LB","LB","SYSCO CLASSIC","","Chicken Cvp Whole Wings Frozen","Poultry",93.3,,"N",,false,,0,40,,"STOCKED",,"Y",,
"P","7205699",,,,,,"2","10 LB","LB","SYSCO CLASSIC","402","Chicken Controlled Vacuum Packed Breast Chunk 10-20 Grams","Poultry",50.82,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","5010040",,,,,,"2","5 LB","LB","SYSCO CLASSIC","30063","Chicken Breast Pressed Ultra Thin","Poultry",61.59,,"N",,false,,0,10,,"STOCKED",,"N",,
"C","Canned & Dry",,,,,,,,,,,,,,,,,,,,,,,,,,
"P","9156746",,,,,,"1","50 LB","LB","SYSCO RELIANCE","11364COM","Lard Cube Deodorized","Canned & Dry",59.59,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","0610337",,,,,,"24","8.4 OZ","OZ","RED BULL","RB1718","Drink Energy Red Bull","Canned & Dry",40,,"N",,false,,0,12.45,,"STOCKED",,"N",,
"P","7118718",,,,,,"24","8.4 OZ","OZ","RED BULL","RB234437","Drink Energy Red Edition Watermelon","Canned & Dry",41,,"N",,false,,0,12.6,,"STOCKED",,"N",,
"P","9940909",,,,,,"1","50 LB","LB","MASECA","37411","Flour Corn No Add #0","Canned & Dry",30.95,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","4002432",,,,,,"4","1 GAL","GAL","SYSCO RELIANCE","9210 7411 REL","Mayonnaise Heavy Duty","Canned & Dry",40.97,11.78,"N",,true,,1,32.26,,"STOCKED",,"N",,
"P","8426330",,,,,,"4","1 GAL","GAL","CASA SOLANA CLASSIC","12730720211","Pepper Jalapeno Slices","Canned & Dry",62.31,17.14,"N",,true,,1,34.4,,"STOCKED",,"N",,
